workbook_name,workbook_path,sheet_name,sheet_index,sheet_state,classification,classification_reasons,is_overview_sheet,overview_reasons,detected_budget,detected_agency_fee,paid_section_detected,paid_section,paid_section_location,paid_relative_to_profiles,paid_included_in_main_budget,profile_section_detected,profile_section,profile_section_location,likely_profile_size_cells,profile_row_count,current_profile_size_values,normalized_profile_tiers_found,invalid_or_legacy_profile_values,supported_channels_found,unsupported_channels_found,cpm_values_detected,diff_detected,formula_cache_warnings,notes,warnings,max_row,max_column,non_empty_cell_count
5254 Etoro Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5254 Etoro Kalkyl (V.A).xlsx,UK,8,visible,usable_with_standardization,At least one valid v1 profile tier was detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 300000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 86160, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A20"", ""header_row"": 20, ""row_count"": 20}",A20 (row 20),B21; B22; B23; B24; B25; B26; B27; B28; B29; B30; B31; B32; B33; B34; B35; B36; B37; B38; B39; B40,20,B21=15; B22=15; B23=15; B24=15; B25=35; B26=35; B27=35; B28=35; B29=35; B30=35; B31=35; B32=35; B33=75; B34=75; B35=75; B36=35; B37=35; B38=35; B39=75; B40=75,15000; 35000; 75000,,Instagram; TikTok; YouTube,,TikTok@G21=89; TikTok@G22=89; TikTok@G23=89; TikTok@G24=89; TikTok@G25=89; TikTok@G26=89; TikTok@G27=89; Instagram@G28=118; Instagram@G29=118; Instagram@G30=118; Instagram@G31=118; Instagram@G32=118; Instagram@G33=118; Instagram@G34=118; Instagram@G35=118; Youtube@G36=148; Youtube@G37=148; Youtube@G38=148; Youtube@G39=148; Youtube@G40=148,"{""label_cell"": ""H43"", ""label_value"": ""diff: 1617"", ""value"": null, ""value_cell"": null}",,Paid section appears before profile section and is included in main budget context.,,53,17,494
5272 Smart Agro Hub Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5272 Smart Agro Hub Kalkyl (V.A).xlsx,Decision makers,0,visible,legacy_reference_only,Unsupported profile channels present in profile section.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 25000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 8064, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 4}",A17 (row 17),B18; B19; B20; B21,4,B18=15; B19=35; B20=35; B21=35,15000; 35000,,Instagram,LinkedIn,Linkedin@G18=175; Linkedin@G19=175; Instagram@G20=177; Instagram@G21=177,"{""label_cell"": ""G24"", ""label_value"": ""Diff:"", ""value"": 722.05, ""value_cell"": ""H24""}",,Paid section appears before profile section and is included in main budget context.,,1001,17,1360
5272 Smart Agro Hub Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5272 Smart Agro Hub Kalkyl (V.A).xlsx,Farmers & Industry,1,visible,usable_with_standardization,At least one valid v1 profile tier was detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 25000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 8064, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A16"", ""header_row"": 16, ""row_count"": 4}",A16 (row 16),B17; B18; B19; B20,4,B17=15; B18=15; B19=35; B20=35,15000; 35000,,Instagram,,Instagram@G17=177; Instagram@G18=177; Instagram@G19=177; Instagram@G20=177,"{""label_cell"": ""G23"", ""label_value"": ""Diff:"", ""value"": -192.95, ""value_cell"": ""H23""}",,Paid section appears before profile section and is included in main budget context.,,1000,17,1347
5272 Smart Agro Hub Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5272 Smart Agro Hub Kalkyl (V.A).xlsx,Students and General Public,2,visible,usable_with_standardization,At least one valid v1 profile tier was detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 25000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 8064, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 4}",A17 (row 17),B18; B19; B20; B21,4,B18=35; B19=35; B20=35; B21=35,35000,,Instagram; TikTok,,Instagram@G18=138; Instagram@G19=138; TikTok@G20=84; TikTok@G21=84,"{""label_cell"": ""G24"", ""label_value"": ""Diff:"", ""value"": 257.05, ""value_cell"": ""H24""}",,Paid section appears before profile section and is included in main budget context.,,1000,17,1347
5278 MQ Marquet Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5278 MQ Marquet Kalkyl (V.A).xlsx,200K Kalkylmall Paid + Org.,0,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 200000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 66083, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 5}",A17 (row 17),B18; B19; B20; B21; B22,5,B18=35; B19=75; B20=75; B21=UGC; B22=UGC,35000; 75000,B21=UGC; B22=UGC,Instagram,,Instagram@G18=570; Instagram@G19=570; Instagram@G20=570; UGC@G21=0; UGC@G22=0,"{""label_cell"": ""G25"", ""label_value"": ""Diff:"", ""value"": 1173.225, ""value_cell"": ""H25""}",,Paid section appears before profile section and is included in main budget context.; Legacy or invalid profile size values were preserved without coercion.,,37,17,453
5278 MQ Marquet Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5278 MQ Marquet Kalkyl (V.A).xlsx,350K Kalkylmall Paid + Org.,1,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 350000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 123503, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 10}",A17 (row 17),B18; B19; B20; B21; B22; B23; B24; B25; B26; B27,10,B18=15; B19=15; B20=35; B21=35; B22=75; B23=125; B24=UGC; B25=UGC; B26=UGC; B27=UGC,15000; 35000; 75000; 125000,B24=UGC; B25=UGC; B26=UGC; B27=UGC,Instagram,,Instagram@G18=570; Instagram@G19=570; Instagram@G20=570; Instagram@G21=570; Instagram@G22=570; Instagram@G23=570; UGC@G24=0; UGC@G25=0; UGC@G26=0; UGC@G27=0,"{""label_cell"": ""G30"", ""label_value"": ""Diff:"", ""value"": 2397.225, ""value_cell"": ""H30""}",,Paid section appears before profile section and is included in main budget context.; Legacy or invalid profile size values were preserved without coercion.,,42,29,597
5290 Skånska Byggvaror Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5290 Skånska Byggvaror Kalkyl (V.A).xlsx,Kalkylmall Org.,0,hidden,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 0, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 0, ""value_cell"": ""H4""}",False,,,not_found,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 6}",A8 (row 8),B9; B10; B11; B12; B13; B14,6,B9=Profile á xxK; B10=Profile á xxK; B11=Profile á xxK; B12=Profile á xxK; B13=Profile á xxK; B14=Profile á xxK,,B10=Profile á xxK; B11=Profile á xxK; B12=Profile á xxK; B13=Profile á xxK; B14=Profile á xxK; B9=Profile á xxK,,,,,,Legacy or invalid profile size values were preserved without coercion.,,30,17,354
5290 Skånska Byggvaror Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5290 Skånska Byggvaror Kalkyl (V.A).xlsx,Kalkylmall Paid + Org.,1,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 250000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 88506, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 4}",A17 (row 17),B18; B19; B20; B21,4,B18=15; B19=15; B20=35; B21=75,15000; 35000; 75000,,Instagram,,Instagram@G18=570; Instagram@G19=570; Instagram@G20=570; Instagram@G21=570,"{""label_cell"": ""G24"", ""label_value"": ""Diff"", ""value"": 694.45, ""value_cell"": ""H24""}",,Paid section appears before profile section and is included in main budget context.,,37,17,448
5295 Trion Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5295 Trion Kalkyl (V.A).xlsx,Kalkylmall Org.,0,hidden,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 0, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 0, ""value_cell"": ""H4""}",False,,,not_found,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 6}",A8 (row 8),B9; B10; B11; B12; B13; B14,6,B9=Profile á xxK; B10=Profile á xxK; B11=Profile á xxK; B12=Profile á xxK; B13=Profile á xxK; B14=Profile á xxK,,B10=Profile á xxK; B11=Profile á xxK; B12=Profile á xxK; B13=Profile á xxK; B14=Profile á xxK; B9=Profile á xxK,,,,,,Legacy or invalid profile size values were preserved without coercion.,,30,17,354
5295 Trion Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5295 Trion Kalkyl (V.A).xlsx,Kalkylmall Paid + Org.,1,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 10000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 4717.44, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 3}",A17 (row 17),B18; B19; B20,3,B18=10; B19=–,,B18=10; B19=–,,Egna kanaler,Egna kanaler@G18=38.63636364,,,Paid section appears before profile section and is included in main budget context.; Legacy or invalid profile size values were preserved without coercion.,,36,17,432
5296 Billio x Klarna kalkyl (V.A).xlsx,data/reference_workbooks/raw/5296 Billio x Klarna kalkyl (V.A).xlsx,150K 90 days rights,0,hidden,legacy_reference_only,Hidden sheet.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 150000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 51698, ""value_cell"": ""H4""}",False,,,not_found,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 4}",A8 (row 8),B9; B10; B11; B12,4,B9=35; B10=35; B11=35; B12=75,35000; 75000,,Instagram,,Instagram@G9=570; Instagram@G10=570; Instagram@G11=570; Instagram@G12=570,,,,,27,18,326
5296 Billio x Klarna kalkyl (V.A).xlsx,data/reference_workbooks/raw/5296 Billio x Klarna kalkyl (V.A).xlsx,150K 90dagar,1,visible,usable_with_standardization,At least one valid v1 profile tier was detected.; Legacy or invalid profile size values were detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 150000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 51698, ""value_cell"": ""H4""}",False,,,not_found,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 4}",A8 (row 8),B9; B10; B11; B12,4,B9=35; B10=35; B11=35; B12=-,35000,B12=-,Instagram,,Instagram@G9=570; Instagram@G10=570; Instagram@G11=570,,,Legacy or invalid profile size values were preserved without coercion.,,27,18,327
5296 Billio x Klarna kalkyl (V.A).xlsx,data/reference_workbooks/raw/5296 Billio x Klarna kalkyl (V.A).xlsx,NY 150K 90dagar,2,visible,usable_with_standardization,At least one valid v1 profile tier was detected.; Legacy or invalid profile size values were detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 170000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 63509, ""value_cell"": ""H4""}",False,,,not_found,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 5}",A8 (row 8),B9; B10; B11; B12; B13,5,B9=35; B10=35; B11=35; B12=-; B13=-,35000,B12=-; B13=-,Instagram,,Instagram@G9=570; Instagram@G10=570; Instagram@G11=570,,,Legacy or invalid profile size values were preserved without coercion.,,28,18,344
5296 Billio x Klarna kalkyl (V.A).xlsx,data/reference_workbooks/raw/5296 Billio x Klarna kalkyl (V.A).xlsx,150K normala rättigheter,3,visible,usable_with_standardization,At least one valid v1 profile tier was detected.; Legacy or invalid profile size values were detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 150000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 63509, ""value_cell"": ""H4""}",False,,,not_found,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 5}",A8 (row 8),B9; B10; B11; B12; B13,5,B9=35; B10=35; B11=75; B12=-; B13=-,35000; 75000,B12=-; B13=-,Instagram,,Instagram@G9=570; Instagram@G10=570; Instagram@G11=570,,,Legacy or invalid profile size values were preserved without coercion.,,27,18,326
5311 Dear Dahlia Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5311 Dear Dahlia Kalkyl (V.A).xlsx,10 profiler,0,visible,canonical_candidate,Modern workbook selected as a reliable canonical Phase 0 reference.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 32000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 14904, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A27"", ""label_value"": ""Add on: Paid"", ""row"": 27}",A27,after_profiles,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 10}",A8 (row 8),B9; B10; B11; B12; B13; B14; B15; B16; B17; B18,10,B9=35; B10=35; B11=35; B12=75; B13=75; B14=35; B15=35; B16=35; B17=75; B18=75,35000; 75000,,Instagram; TikTok,,TikTok@G9=35; TikTok@G10=35; TikTok@G11=35; TikTok@G12=35; TikTok@G13=35; Instagram@G14=46; Instagram@G15=46; Instagram@G16=46; Instagram@G17=46; Instagram@G18=46,"{""label_cell"": ""G21"", ""label_value"": ""Diff:"", ""value"": -46.2, ""value_cell"": ""H21""}",,Paid section appears after profile section and is excluded from main optimization.,,37,17,457
5311 Dear Dahlia Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5311 Dear Dahlia Kalkyl (V.A).xlsx,20 profiler,1,visible,canonical_candidate,Modern workbook selected as a reliable canonical Phase 0 reference.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 63000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 28584, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A37"", ""label_value"": ""Add on: Paid"", ""row"": 37}",A37,after_profiles,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 20}",A8 (row 8),B9; B10; B11; B12; B13; B14; B15; B16; B17; B18; B19; B20; B21; B22; B23; B24; B25; B26; B27; B28,20,B9=35; B10=35; B11=35; B12=35; B13=35; B14=35; B15=75; B16=75; B17=75; B18=75; B19=35; B20=35; B21=35; B22=35; B23=35; B24=35; B25=75; B26=75; B27=75; B28=75,35000; 75000,,Instagram; TikTok,,TikTok@G9=35; TikTok@G10=35; TikTok@G11=35; TikTok@G12=35; TikTok@G13=35; TikTok@G14=35; TikTok@G15=35; TikTok@G16=35; TikTok@G17=35; TikTok@G18=35; Instagram@G19=46; Instagram@G20=46; Instagram@G21=46; Instagram@G22=46; Instagram@G23=46; Instagram@G24=46; Instagram@G25=46; Instagram@G26=46; Instagram@G27=46; Instagram@G28=46,"{""label_cell"": ""G31"", ""label_value"": ""Diff:"", ""value"": 114.8, ""value_cell"": ""H31""}",,Paid section appears after profile section and is excluded from main optimization.,,47,29,747
5311 Dear Dahlia Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5311 Dear Dahlia Kalkyl (V.A).xlsx,30 profiler,2,visible,canonical_candidate,Modern workbook selected as a reliable canonical Phase 0 reference.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 95000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 42264, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A47"", ""label_value"": ""Add on: Paid"", ""row"": 47}",A47,after_profiles,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 30}",A8 (row 8),B9; B10; B11; B12; B13; B14; B15; B16; B17; B18; B19; B20; B21; B22; B23; B24; B25; B26; B27; B28; B29; B30; B31; B32; B33; B34; B35; B36; B37; B38,30,B9=35; B10=35; B11=35; B12=35; B13=35; B14=35; B15=35; B16=75; B17=75; B18=75; B19=75; B20=75; B21=75; B22=75; B23=75; B24=35; B25=35; B26=35; B27=35; B28=35; B29=35; B30=35; B31=35; B32=35; B33=35; B34=75; B35=75; B36=75; B37=75; B38=75,35000; 75000,,Instagram; TikTok,,TikTok@G9=35; TikTok@G10=35; TikTok@G11=35; TikTok@G12=35; TikTok@G13=35; TikTok@G14=35; TikTok@G15=35; TikTok@G16=35; TikTok@G17=35; TikTok@G18=35; TikTok@G19=35; TikTok@G20=35; TikTok@G21=35; TikTok@G22=35; TikTok@G23=35; Instagram@G24=46; Instagram@G25=46; Instagram@G26=46; Instagram@G27=46; Instagram@G28=46; Instagram@G29=46; Instagram@G30=46; Instagram@G31=46; Instagram@G32=46; Instagram@G33=46; Instagram@G34=46; Instagram@G35=46; Instagram@G36=46; Instagram@G37=46; Instagram@G38=46,"{""label_cell"": ""G41"", ""label_value"": ""Diff:"", ""value"": 480.8, ""value_cell"": ""H41""}",,Paid section appears after profile section and is excluded from main optimization.,,57,29,1037
5311 Dear Dahlia Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5311 Dear Dahlia Kalkyl (V.A).xlsx,Masskampanj,3,visible,overview_ignore,Sheet name matched overview keywords: masskampanj.,True,Sheet name matched overview keywords: masskampanj.,,,False,,,not_found,False,False,,,,0,,,,,,,,,,,998,26,25948
5311 Dear Dahlia Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5311 Dear Dahlia Kalkyl (V.A).xlsx,Kalkylmall Paid + Org.,4,hidden,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 0, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 0, ""value_cell"": ""I4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 4}",A17 (row 17),B18; B19; B20; B21,4,,,,Instagram,,Instagram@G18=570; Instagram@G19=570; Instagram@G20=570; Instagram@G21=570,"{""label_cell"": ""G24"", ""label_value"": ""Diff"", ""value"": 0, ""value_cell"": ""H24""}",,Paid section appears before profile section and is included in main budget context.,,37,17,449
5312 Medclair Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5312 Medclair Kalkyl (V.A).xlsx,Kalkylmall Org.,0,hidden,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 0, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 0, ""value_cell"": ""H4""}",False,,,not_found,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 6}",A8 (row 8),B9; B10; B11; B12; B13; B14,6,B9=Profile á xxK; B10=Profile á xxK; B11=Profile á xxK; B12=Profile á xxK; B13=Profile á xxK; B14=Profile á xxK,,B10=Profile á xxK; B11=Profile á xxK; B12=Profile á xxK; B13=Profile á xxK; B14=Profile á xxK; B9=Profile á xxK,,,,,,Legacy or invalid profile size values were preserved without coercion.,,30,17,354
5312 Medclair Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5312 Medclair Kalkyl (V.A).xlsx,UK,1,hidden,legacy_reference_only,Hidden sheet.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 600000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 180000, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 6}",A17 (row 17),B18; B19; B20; B21; B22; B23,6,B18=10; B19=20; B20=30; B21=10; B22=20; B23=30,,B18=10; B19=20; B20=30; B21=10; B22=20; B23=30,Instagram; TikTok,,TikTok@G18=979; TikTok@G19=979; TikTok@G20=979; Instagram@G21=1298; Instagram@G22=1298; Instagram@G23=1298,"{""label_cell"": ""G26"", ""label_value"": ""Diff"", ""value"": 51755, ""value_cell"": ""H26""}",,Paid section appears before profile section and is included in main budget context.; Legacy or invalid profile size values were preserved without coercion.,,50,17,634
5312 Medclair Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5312 Medclair Kalkyl (V.A).xlsx,600K,2,visible,canonical_candidate,Modern workbook selected as a reliable canonical Phase 0 reference.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 600000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 286605, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A19"", ""header_row"": 19, ""row_count"": 12}",A19 (row 19),B20; B21; B22; B23; B24; B25; B26; B27; B28; B29; B30; B31,12,B20=15; B21=15; B22=15; B23=35; B24=35; B25=35; B26=15; B27=15; B28=35; B29=15; B30=35; B31=35,15000; 35000,,Instagram; TikTok,,UK TikTok@G20=800; UK TikTok@G21=800; UK TikTok@G22=800; UK Instagram@G23=800; UK Instagram@G24=800; UK Instagram@G25=800; US TikTok@G26=1100; US TikTok@G27=1100; US TikTok@G28=1100; US Instagram@G29=1100; US Instagram@G30=1100; US Instagram@G31=1100,"{""label_cell"": ""G34"", ""label_value"": ""Diff"", ""value"": 1640.375, ""value_cell"": ""H34""}",,Paid section appears before profile section and is included in main budget context.,,48,17,595
5312 Medclair Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5312 Medclair Kalkyl (V.A).xlsx,1.2M,3,visible,canonical_candidate,Modern workbook selected as a reliable canonical Phase 0 reference.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 1200000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 448965, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A19"", ""header_row"": 19, ""row_count"": 24}",A19 (row 19),B20; B21; B22; B23; B24; B25; B26; B27; B28; B29; B30; B31; B32; B33; B34; B35; B36; B37; B38; B39; B40; B41; B42; B43,24,B20=15; B21=15; B22=15; B23=35; B24=35; B25=35; B26=15; B27=15; B28=35; B29=35; B30=35; B31=75; B32=15; B33=15; B34=15; B35=15; B36=35; B37=35; B38=35; B39=35; B40=35; B41=35; B42=35; B43=35,15000; 35000; 75000,,Instagram; TikTok,,UK TikTok@G20=800; UK TikTok@G21=800; UK TikTok@G22=800; UK TikTok@G23=800; UK TikTok@G24=800; UK TikTok@G25=800; UK Instagram@G26=800; UK Instagram@G27=800; UK Instagram@G28=800; UK Instagram@G29=800; UK Instagram@G30=800; UK Instagram@G31=800; US TikTok@G32=1100; US TikTok@G33=1100; US TikTok@G34=1100; US TikTok@G35=1100; US TikTok@G36=1100; US TikTok@G37=1100; US Instagram@G38=1100; US Instagram@G39=1100; US Instagram@G40=1100; US Instagram@G41=1100; US Instagram@G42=1100; US Instagram@G43=1100,"{""label_cell"": ""G46"", ""label_value"": ""Diff"", ""value"": 207.375, ""value_cell"": ""H46""}",,Paid section appears before profile section and is included in main budget context.,,58,29,830
