workbook_name,workbook_path,sheet_name,sheet_index,sheet_state,classification,classification_reasons,is_overview_sheet,overview_reasons,detected_budget,detected_agency_fee,paid_section_detected,paid_section,paid_section_location,paid_relative_to_profiles,paid_included_in_main_budget,profile_section_detected,profile_section,profile_section_location,likely_profile_size_cells,profile_row_count,current_profile_size_values,normalized_profile_tiers_found,invalid_or_legacy_profile_values,supported_channels_found,unsupported_channels_found,cpm_values_detected,diff_detected,formula_cache_warnings,notes,warnings,max_row,max_column,non_empty_cell_count
5218 Vanish Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5218 Vanish Kalkyl (V.A).xlsx,Kalkylmall Org.,0,visible,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 15000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 5248.75, ""value_cell"": ""H4""}",False,,,not_found,False,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A8"", ""header_row"": 8, ""row_count"": 5}",A8 (row 8),B9; B10; B11; B12; B13,5,B9=15; B10=35; B11=35; B12=75; B13=120,15000; 35000; 75000,B13=120,Instagram; TikTok,,TikTok@G9=35; TikTok@G10=35; TikTok@G11=35; Instagram@G12=45; Instagram@G13=45,"{""label_cell"": ""G16"", ""label_value"": ""Diff"", ""value"": 269.90625, ""value_cell"": ""H16""}",,Legacy or invalid profile size values were preserved without coercion.,,29,17,346
5218 Vanish Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5218 Vanish Kalkyl (V.A).xlsx,Kalkylmall Paid + Org.,1,hidden,legacy_reference_only,Template-like sheet name.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 0, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 0, ""value_cell"": ""I4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A17"", ""header_row"": 17, ""row_count"": 4}",A17 (row 17),B18; B19; B20; B21,4,,,,Instagram,,Instagram@G18=570; Instagram@G19=570; Instagram@G20=570; Instagram@G21=570,"{""label_cell"": ""G24"", ""label_value"": ""Diff"", ""value"": 0, ""value_cell"": ""H24""}",,Paid section appears before profile section and is included in main budget context.,,37,17,449
5254 Etoro Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5254 Etoro Kalkyl (V.A).xlsx,Summary,0,visible,overview_ignore,Sheet name matched overview keywords: summary.,True,Sheet name matched overview keywords: summary.,,,True,"{""label_cell"": ""A4"", ""label_value"": ""Paid"", ""row"": 4}",A4,unknown_without_profiles,False,False,,,,0,,,,,,,,,,Paid section detected but relative placement is unknown because no profile section was found.,1001,26,11025
5254 Etoro Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5254 Etoro Kalkyl (V.A).xlsx,Norway,1,visible,usable_with_standardization,At least one valid v1 profile tier was detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 100000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 37200, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A20"", ""header_row"": 20, ""row_count"": 10}",A20 (row 20),B21; B22; B23; B24; B25; B26; B27; B28; B29; B30,10,B21=15; B22=15; B23=35; B24=15; B25=15; B26=35; B27=35; B28=15; B29=15; B30=35,15000; 35000,,Instagram; TikTok; YouTube,,TikTok@G21=85.1; TikTok@G22=85.1; TikTok@G23=85.1; Instagram@G24=112.7; Instagram@G25=112.7; Instagram@G26=112.7; Instagram@G27=112.7; Youtube@G28=141.45; Youtube@G29=141.45; Youtube@G30=141.45,"{""label_cell"": ""H33"", ""label_value"": ""diff: 776"", ""value"": null, ""value_cell"": null}",,Paid section appears before profile section and is included in main budget context.,,43,17,433
5254 Etoro Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5254 Etoro Kalkyl (V.A).xlsx,Denmark,2,visible,usable_with_standardization,At least one valid v1 profile tier was detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 100000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 37200, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A20"", ""header_row"": 20, ""row_count"": 10}",A20 (row 20),B21; B22; B23; B24; B25; B26; B27; B28; B29; B30,10,B21=15; B22=15; B23=35; B24=15; B25=15; B26=15; B27=35; B28=15; B29=15; B30=35,15000; 35000,,Instagram; TikTok; YouTube,,TikTok@G21=85.1; TikTok@G22=85.1; TikTok@G23=85.1; Instagram@G24=112.7; Instagram@G25=112.7; Instagram@G26=112.7; Instagram@G27=112.7; Youtube@G28=141.45; Youtube@G29=141.45; Youtube@G30=141.45,"{""label_cell"": ""H33"", ""label_value"": ""diff: 764"", ""value"": null, ""value_cell"": null}",,Paid section appears before profile section and is included in main budget context.,,43,17,431
5254 Etoro Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5254 Etoro Kalkyl (V.A).xlsx,Finland,3,visible,usable_with_standardization,At least one valid v1 profile tier was detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 100000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 37200, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A20"", ""header_row"": 20, ""row_count"": 10}",A20 (row 20),B21; B22; B23; B24; B25; B26; B27; B28; B29; B30,10,B21=35; B22=15; B23=35; B24=15; B25=15; B26=15; B27=35; B28=15; B29=15; B30=15,15000; 35000,,Instagram; TikTok; YouTube,,TikTok@G21=81.4; TikTok@G22=81.4; TikTok@G23=81.4; Instagram@G24=107.8; Instagram@G25=107.8; Instagram@G26=107.8; Instagram@G27=107.8; Youtube@G28=135.3; Youtube@G29=135.3; Youtube@G30=135.3,"{""label_cell"": ""H33"", ""label_value"": ""diff: -375"", ""value"": null, ""value_cell"": null}",,Paid section appears before profile section and is included in main budget context.,,43,17,431
5254 Etoro Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5254 Etoro Kalkyl (V.A).xlsx,Sweden,4,visible,usable_with_standardization,At least one valid v1 profile tier was detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 150000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 60720, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A20"", ""header_row"": 20, ""row_count"": 15}",A20 (row 20),B21; B22; B23; B24; B25; B26; B27; B28; B29; B30; B31; B32; B33; B34; B35,15,B21=15; B22=35; B23=35; B24=35; B25=35; B26=35; B27=35; B28=15; B29=15; B30=15; B31=35; B32=35; B33=15; B34=15; B35=35,15000; 35000,,Instagram; TikTok; YouTube,,TikTok@G21=74; Tiktok@G22=74; Tiktok@G23=74; TikTok@G24=74; TikTok@G25=74; TikTok@G26=74; TikTok@G27=74; Instagram@G28=98; Instagram@G29=98; Instagram@G30=98; Instagram@G31=98; instagram@G32=98; Youtube@G33=123; Youtube@G34=123; Youtube@G35=123,"{""label_cell"": ""H38"", ""label_value"": ""diff: 454"", ""value"": null, ""value_cell"": null}",,Paid section appears before profile section and is included in main budget context.,,48,17,464
5254 Etoro Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5254 Etoro Kalkyl (V.A).xlsx,Italy,5,visible,usable_with_standardization,At least one valid v1 profile tier was detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 200000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 67440, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A20"", ""header_row"": 20, ""row_count"": 15}",A20 (row 20),B21; B22; B23; B24; B25; B26; B27; B28; B29; B30; B31; B32; B33; B34; B35,15,B21=15; B22=15; B23=35; B24=35; B25=75; B26=75; B27=35; B28=35; B29=35; B30=75; B31=75; B32=75; B33=35; B34=35; B35=75,15000; 35000; 75000,,Instagram; TikTok; YouTube,,Tiktok@G21=67; TikTok@G22=67; TikTok@G23=67; TikTok@G24=67; TikTok@G25=67; TikTok@G26=67; Instagram@G27=89; Instagram@G28=89; Instagram@G29=89; Instagram@G30=89; Instagram@G31=89; Instagram@G32=89; Youtube@G33=111; Youtube@G34=111; Youtube@G35=111,"{""label_cell"": ""H38"", ""label_value"": ""diff: 3238"", ""value"": null, ""value_cell"": null}",,Paid section appears before profile section and is included in main budget context.,,48,17,464
5254 Etoro Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5254 Etoro Kalkyl (V.A).xlsx,Germany,6,visible,usable_with_standardization,At least one valid v1 profile tier was detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 300000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 87120, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A20"", ""header_row"": 20, ""row_count"": 20}",A20 (row 20),B21; B22; B23; B24; B25; B26; B27; B28; B29; B30; B31; B32; B33; B34; B35; B36; B37; B38; B39; B40,20,B21=15; B22=15; B23=15; B24=15; B25=15; B26=35; B27=35; B28=15; B29=15; B30=35; B31=35; B32=35; B33=35; B34=35; B35=75; B36=15; B37=15; B38=35; B39=75; B40=75,15000; 35000; 75000,,Instagram; TikTok; YouTube,,Tiktok@G21=131; TikTok@G22=131; TikTok@G23=131; TikTok@G24=131; TikTok@G25=131; TikTok@G26=131; TikTok@G27=131; Instagram@G28=175; Instagram@G29=175; Instagram@G30=175; Instagram@G31=175; Instagram@G32=175; Instagram@G33=175; Instagram@G34=175; Instagram@G35=175; Youtube@G36=142; Youtube@G37=142; Youtube@G38=142; Youtube@G39=142; Youtube@G40=142,"{""label_cell"": ""H43"", ""label_value"": ""diff: 99"", ""value"": null, ""value_cell"": null}",,Paid section appears before profile section and is included in main budget context.,,53,17,503
5254 Etoro Kalkyl (V.A).xlsx,data/reference_workbooks/raw/5254 Etoro Kalkyl (V.A).xlsx,France,7,visible,usable_with_standardization,At least one valid v1 profile tier was detected.,False,,"{""label_cell"": ""A2"", ""label_value"": ""Kampanjbudget"", ""value"": 300000, ""value_cell"": ""H2""}","{""label_cell"": ""A4"", ""label_value"": ""Nine Agency hantering"", ""value"": 87120, ""value_cell"": ""H4""}",True,"{""label_cell"": ""A7"", ""label_value"": ""Paid"", ""row"": 7}",A7,before_profiles,True,True,"{""columns"": {""activation"": 3, ""channel"": 1, ""cpm"": 7, ""size"": 2}, ""header_cell"": ""A20"", ""header_row"": 20, ""row_count"": 20}",A20 (row 20),B21; B22; B23; B24; B25; B26; B27; B28; B29; B30; B31; B32; B33; B34; B35; B36; B37; B38; B39; B40,20,B21=15; B22=15; B23=35; B24=35; B25=75; B26=75; B27=125; B28=35; B29=35; B30=35; B31=35; B32=75; B33=75; B34=125; B35=125; B36=35; B37=35; B38=35; B39=75; B40=75,15000; 35000; 75000; 125000,,Instagram; TikTok; YouTube,,Tiktok@G21=67; TikTok@G22=67; TikTok@G23=67; TikTok@G24=67; TikTok@G25=67; TikTok@G26=67; TikTok@G27=67; Instagram@G28=89; Instagram@G29=89; Instagram@G30=89; Instagram@G31=89; Instagram@G32=89; Instagram@G33=89; Instagram@G34=89; Instagram@G35=89; Youtube@G36=111; Youtube@G37=111; Youtube@G38=111; Youtube@G39=111; Youtube@G40=111,"{""label_cell"": ""H43"", ""label_value"": ""diff: 2839"", ""value"": null, ""value_cell"": null}",,Paid section appears before profile section and is included in main budget context.,,53,17,526
